genera,Genera Count,Number of Contigs
Janthinobacterium,6,118
Aerococcus,6,38
Weissella,6,41
Methanobrevibacter,6,56
Lawsonia,6,6
Haemophilus,6,45
Cupriavidus,6,136
Desulfotomaculum,6,71
Exiguobacterium,6,64
Gordonia,6,117
Brevundimonas,5,41
Amycolatopsis,5,155
Frankia,5,99
Carnobacterium,5,38
Shigella,5,80
Methanobacterium,5,32
Brachyspira,5,38
Brachybacterium,5,58
Herbaspirillum,5,95
Ehrlichia,5,23
Sphingobacterium,5,99
Anoxybacillus,5,50
Agrobacterium,5,78
Elizabethkingia,5,64
Xenorhabdus,5,64
Actinobacteria,5,19
Thioalkalivibrio,5,40
Sulfolobus,5,51
Alcanivorax,5,61
Pyrobaculum,5,33
Leptospira,5,82
Hydrogenobaculum,5,23
Blattabacterium,5,6
Virgibacillus,5,77
Calothrix,5,154
Azoarcus,5,68
Actinobacillus,4,26
Chlamydophila,4,11
Endosymbiont,4,29
Cellulomonas,4,49
Celeribacter,4,60
Actinoalloteichus,4,85
Thauera,4,47
Pectobacterium,4,91
Comamonas,4,59
Phaeobacter,4,46
Ochrobactrum,4,56
Pseudothermotoga,4,29
Delftia,4,75
Desulfitobacterium,4,62
Lactococcus,4,31
Tessaracoccus,4,45
Methanothermobacter,4,16
Colwellia,4,82
Pediococcus,4,26
Leptolyngbya,4,85
Pelobacter,4,38
Sporosarcina,4,41
Caulobacter,4,45
Kosakonia,4,71
Komagataeibacter,4,39
Spirosoma,4,99
Pedobacter,4,66
Erythrobacter,4,37
Methylomonas,4,70
Actinoplanes,4,118
Nostoc,4,137
Arcobacter,4,35
Maribacter,4,55
Archaeoglobus,4,29
Polaribacter,4,50
Paracoccus,4,52
Myxococcus,4,115
Myroides,4,57
Rhodoferax,4,62
Mannheimia,4,29
Bosea,4,75
Thermosipho,4,19
Rhodobacter,4,60
Prosthecochloris,4,34
Methanococcus,4,25
Magnetospirillum,4,54
Lysobacter,4,74
Novosphingobium,4,35
Anabaena,4,82
Moraxella,4,26
Rufibacter,3,50
Desulfosporosinus,3,43
Rhodovulum,3,35
Labrenzia,3,67
Haloarcula,3,38
Halobacterium,3,19
Dehalobacter,3,29
Ruegeria,3,40
Macrococcus,3,24
Rothia,3,25
Haloferax,3,30
Photorhabdus,3,45
Gramella,3,35
Marinomonas,3,42
Rhodospirillum,3,48
Hydrogenophaga,3,51
Kocuria,3,30
Kitasatospora,3,58
Leptospirillum,3,24
Sphaerochaeta,3,23
Sodalis,3,50
Fervidobacterium,3,19
Methanoculleus,3,25
Methanocella,3,23
Lysinibacillus,3,42
Kangiella,3,30
Fusobacterium,3,32
Martelella,3,52
Selenomonas,3,48
Dokdonia,3,25
Cycloclasticus,3,18
Mesoplasma,3,4
Escherichia,3,51
Hyphomicrobium,3,32
Polynucleobacter,3,9
Pontibacter,3,38
Pseudarthrobacter,3,50
Providencia,3,42
Octadecabacter,3,38
Mucilaginibacter,3,54
Acidithiobacillus,3,31
Wolbachia,3,32
Nonlabens,3,30
Tenacibaculum,3,40
Microbulbifer,3,44
Nocardiopsis,3,59
Neorickettsia,3,10
Thermofilum,3,13
Collimonas,3,49
Nitrospira,3,54
Nitrosospira,3,33
Cellulophaga,3,48
Variovorax,3,66
Cellvibrio,3,36
Anaeromyxobacter,3,48
Nitrosococcus,3,39
Azospirillum,3,34
Anaplasma,3,9
Borreliella,3,10
Curtobacterium,3,39
Brevibacterium,3,37
Brevibacillus,3,63
Olsenella,3,14
Achromobacter,3,59
Ruminococcus,2,16
Halobacillus,2,32
Prochlorococcus,2,21
Polaromonas,2,39
Propionibacterium,2,11
Tumebacillus,2,29
Glaciecola,2,27
Nitrobacter,2,29
Natrinema,2,29
Ureaplasma,2,2
Gemmatimonas,2,35
Sedimentisphaera,2,24
Geminocystis,2,28
Rubrobacter,2,19
Aneurinibacillus,2,29
Halorhabdus,2,19
Niabella,2,34
Halioglobus,2,38
Gloeobacter,2,25
Halanaerobium,2,16
Massilia,2,48
Salmonella,2,28
Gluconobacter,2,27
Azotobacter,2,25
Natronomonas,2,20
Porphyrobacter,2,14
Salinispora,2,50
Granulicella,2,40
Porphyromonas,2,13
Vagococcus,2,25
Hafnia,2,26
Meiothermus,2,22
Geoglobus,2,13
Neorhizobium,2,27
Cyanothece,2,85
Marinitoga,2,10
Parabacteroides,2,30
Cyclobacterium,2,44
Anaerolineaceae,2,13
Halorubrum,2,20
Aggregatibacter,2,9
Leptotrichia,2,31
Aeropyrum,2,11
Ketogulonicigenium,2,23
Advenella,2,38
Actinosynnema,2,56
Kluyveromyces,2,78
Aciduliprofundum,2,13
Kosmotoga,2,22
Rathayibacter,2,20
Acidiphilium,2,20
Kushneria,2,28
Rahnella,2,33
Acidilobus,2,11
Lachnoclostridium,2,38
Oceanisphaera,2,16
Lacinutrix,2,21
Acidianus,2,27
Acidaminococcus,2,20
Lelliottia,2,34
Psychromonas,2,22
Acholeplasma,2,7
Jeotgalibaca,2,17
Oscillatoria,2,49
Proteus,2,33
Akkermansia,2,21
Haloterrigena,2,26
Roseobacter,2,37
Roseiflexus,2,45
Halothiobacillus,2,14
Thioalkalimicrobium,2,12
Anaerococcus,2,17
Herminiimonas,2,19
Veillonella,2,17
Lutibacter,2,24
Hungateiclostridium,2,20
Alpha,2,9
Alkaliphilus,2,23
Vulcanisaeta,2,23
Hyphomonas,2,20
Aliivibrio,2,38
Idiomarina,2,19
Nocardioides,2,26
Ignicoccus,2,10
Limnohabitans,2,25
Isoptericola,2,22
Winogradskyella,2,16
Bdellovibrio,2,19
Pseudoxanthomonas,2,26
Dyella,2,35
Methanosaeta,2,25
Ensifer,2,26
Pasteurella,2,18
Enterobacteriaceae,2,38
Cellulosimicrobium,2,21
Erysipelothrix,2,11
Staphylothermus,2,10
Croceicoccus,2,17
Planctomyces,2,52
Sulfurihydrogenibium,2,11
Dermabacter,2,16
Thermocrinis,2,11
Sulfurimonas,2,18
Cryobacterium,2,28
Thermodesulfobacterium,2,6
Sulfitobacter,2,24
Desulfococcus,2,28
Chelatococcus,2,31
Chitinophaga,2,46
Spirochaeta,2,15
Microcystis,2,33
Methylacidiphilum,2,11
Stanieria,2,40
Micromonospora,2,39
Blastomonas,2,28
Chromobacterium,2,30
Dictyoglomus,2,5
Chlorobaculum,2,19
Thermoanaerobacterium,2,24
Eggerthella,2,21
Spiribacter,2,7
Chloroflexus,2,28
Sphingorhabdus,2,27
Methylovorus,2,25
Methylotenera,2,18
Comamonadaceae,2,12
Taylorella,2,13
Methanoregula,2,15
Methanococcoides,2,14
Caenorhabditis,2,345
Flavobacteriaceae,2,15
Pirellula,2,33
Butyrivibrio,2,19
Burkholderiales,2,22
Terriglobus,2,35
Thermoproteus,2,6
Formosa,2,11
Coxiella,2,13
Muricauda,2,18
Frondihabitans,2,26
Blochmannia,2,2
Blautia,2,40
Metallosphaera,2,23
Thermoplasma,2,6
Phycisphaerae,2,22
Methylophaga,2,26
Cutibacterium,2,16
Dehalogenimonas,2,8
Plasmodium,2,71
Ferroplasma,2,13
Desulfomicrobium,2,13
Desulfuromonas,2,28
Dehalococcoides,2,9
Sulfurovum,2,14
Cyanobium,2,20
Methanohalophilus,2,10
Desulfurococcus,2,16
Pelosinus,2,24
Fictibacillus,2,22
Methylocystis,2,33
Cyanobacterium,2,33
Picrophilus,1,4
Opitutaceae,1,8
Phytobacter,1,13
Ornithobacterium,1,4
Oleiphilus,1,22
Oleispira,1,10
Pseudorhodoplanes,1,27
Petrotoga,1,5
Petrimonas,1,12
Phenylobacterium,1,15
Pseudopropionibacterium,1,8
Pseudopedobacter,1,20
Oligotropha,1,9
Persephonella,1,6
Peptoclostridium,1,6
Phycisphaera,1,9
Opitutus,1,20
Orientia,1,5
Peptoniphilus,1,5
Pimelobacter,1,11
Parachlamydia,1,10
Pseudohongiella,1,7
Porphyromonadaceae,1,12
Parascardovia,1,12
Prauserella,1,23
Plantactinospora,1,21
Parasaccharibacter,1,3
Palaeococcus,1,4
Pragia,1,14
Paludibacter,1,9
Plautia,1,11
Paludisphaera,1,28
Pseudogulbenkiania,1,22
Plesiomonas,1,12
Paraphotobacterium,1,8
Pleurocapsa,1,16
Paraglaciecola,1,10
Pluralibacter,1,19
Pannonibacter,1,18
Parageobacillus,1,16
Polyangium,1,23
Paenarthrobacter,1,15
Paenalcaligenes,1,6
Parvibaculum,1,17
Parvimonas,1,1
Pseudodesulfovibrio,1,18
Piscirickettsia,1,16
Oscillibacter,1,16
Pelodictyon,1,12
Planctopirus,1,21
Ostreococcus,1,46
Pseudanabaena,1,13
Ottowia,1,11
Pelagibacterium,1,16
Pelagibaca,1,6
Protochlamydia,1,13
Proteiniphilum,1,15
Paucibacter,1,20
Propionimicrobium,1,1
Owenweeksia,1,10
Oxalobacter,1,9
Parvularcula,1,14
Polymorphum,1,16
Acaryochloris,1,20
Psychroflexus,1,18
Pusillimonas,1,11
Thermobaculum,1,9
Thermobifida,1,15
Thermobispora,1,17
Thermoclostridium,1,17
Thermodesulfatator,1,9
Thermodesulfobium,1,4
Thermodesulfovibrio,1,6
Thermogladius,1,5
Thermogutta,1,19
Thermomicrobium,1,5
Thermomonospora,1,18
Thermoplasmatales,1,3
Thermosediminibacter,1,6
Thermosphaera,1,4
Thermosulfidibacter,1,3
Thermosynechococcus,1,5
Thermothelomyces,1,117
Thermothielavioides,1,134
Thermovibrio,1,11
Thermobacillus,1,17
Thermincola,1,13
Thermanaerovibrio,1,5
Tatumella,1,13
Syntrophobacter,1,11
Syntrophobotulus,1,14
Syntrophomonas,1,5
Syntrophothermus,1,4
Syntrophus,1,7
Tannerella,1,10
Tateyamaria,1,9
Tatlockia,1,13
Tepidanaerobacter,1,9
Thermaerobacter,1,11
Teredinibacter,1,11
Terribacillus,1,8
Tetragenococcus,1,7
Thalassolituus,1,7
Thalassospira,1,17
Thalassotalea,1,18
Theileria,1,33
Thermacetogenium,1,2
Thermovirga,1,6
Thiobacillus,1,6
Thioclava,1,24
Xylanimonas,1,11
Vulgatibacter,1,13
Waddlia,1,2
Weeksella,1,4
Wenyingzhuangia,1,11
Wenzhouxiangella,1,13
Woeseia,1,11
Wolinella,1,11
Xanthobacter,1,14
Xylella,1,11
Verrucosispora,1,18
Yangia,1,10
Zhongshania,1,15
Zobellella,1,9
Zobellia,1,23
Zunongwangia,1,12
Zymomonas,1,7
complete,1,6
gamma,1,19
Vitreoscilla,1,7
Verrucomicrobia,1,14
Thiocystis,1,15
Trichodesmium,1,29
Thioflavicoccus,1,23
Thiohalobacter,1,8
Thiolapillus,1,15
Thiomicrospira,1,9
Thiomonas,1,11
Thioploca,1,14
Tistrella,1,17
Tolumonas,1,10
Tropheryma,1,3
Verminephrobacter,1,18
Truepera,1,7
Trueperella,1,5
Tsukamurella,1,13
Turicibacter,1,9
Turneriella,1,16
Uncultured,1,1
Ureibacillus,1,7
Variibacter,1,17
Synechocystis,1,20
Symbiobacterium,1,8
Sulfuritalea,1,12
Saccharomonospora,1,14
Roseibacterium,1,11
Roseomonas,1,13
Roseovarius,1,6
Rubinisphaera,1,26
Rubrivivax,1,11
Ruminiclostridium,1,10
Ruminococcaceae,1,5
Rummeliibacillus,1,5
Saccharomyces,1,51
Roseateles,1,25
Saccharophagus,1,16
Saccharopolyspora,1,34
Saccharothrix,1,23
Salegentibacter,1,12
Salimicrobium,1,7
Salinarchaeum,1,8
Salinibacter,1,13
Salinicoccus,1,4
Roseburia,1,10
Robiginitalea,1,13
Salinivirga,1,13
Rhodobacteraceae,1,8
Pyrodictium,1,9
Pyrolobus,1,6
Ramlibacter,1,14
Raoultella,1,18
Renibacterium,1,8
Rhizobacter,1,17
Rhizorhabdus,1,17
Rhodanobacter,1,9
Rhodoluna,1,5
Rivularia,1,32
Rhodomicrobium,1,14
Rhodopirellula,1,14
Rhodoplanes,1,35
Rhodopseudomonas,1,13
Rhodothermaceae,1,14
Rhodothermus,1,10
Rickettsiales,1,5
Riemerella,1,10
Salinispira,1,9
Salipiger,1,9
Sulfurifustis,1,11
Steroidobacter,1,11
Solibacillus,1,12
Solitalea,1,12
Sorangium,1,37
Sphaerobacter,1,15
Sphingobacteriaceae,1,25
Spongiibacter,1,9
Stackebrandtia,1,18
Starkeya,1,20
Stigmatella,1,32
Sneathia,1,3
Streptobacillus,1,4
Streptosporangium,1,42
Sugiyamaella,1,48
Sulfolobales,1,1
Sulfuricaulis,1,6
Sulfuricella,1,15
Sulfuricurvum,1,5
Sulfuriferula,1,10
Snodgrassella,1,10
Slackia,1,9
Sandaracinus,1,34
Segniliparus,1,15
Sanguibacter,1,14
Saprospira,1,18
Scardovia,1,6
Sebaldella,1,16
Secondary,1,10
Sedimenticola,1,16
Sediminicola,1,11
Sediminispirochaeta,1,19
Seonamhaeicola,1,10
Sinomonas,1,11
Serinicoccus,1,9
Oenococcus,1,7
Shinella,1,20
Siansivirga,1,8
Sideroxydans,1,11
Simiduia,1,14
Simkania,1,11
Singulisphaera,1,35
Shimwellia,1,15
Marinithermus,1,5
Odoribacter,1,9
Cyanidioschyzon,1,57
Cytophaga,1,19
Dactylococcopsis,1,16
Dechloromonas,1,15
Dechlorosoma,1,16
Deferribacter,1,6
Defluviimonas,1,14
Defluviitoga,1,14
Dehalobacterium,1,15
Denitrobacterium,1,6
Denitrovibrio,1,9
Dermacoccus,1,16
Dermatophilus,1,10
Desulfarculus,1,11
Desulfatibacillum,1,14
Desulfobacca,1,10
Desulfobacterium,1,22
Desulfobacula,1,13
Desulfocapsa,1,9
Desulfohalobium,1,8
Cystobacter,1,45
Cuniculiplasma,1,4
Desulfotalea,1,13
Cryptobacterium,1,3
Chondromyces,1,29
Chromatiaceae,1,17
Chromohalobacter,1,10
Chroococcidiopsis,1,17
Citromicrobium,1,18
Clavibacter,1,12
Cloacibacillus,1,9
Cnuibacter,1,13
Cobetia,1,9
Conexibacter,1,19
Confluentimicrobium,1,10
Coprothermobacter,1,5
Coraliomargarita,1,15
Corallococcus,1,40
Coriobacteriaceae,1,8
Coriobacterium,1,10
Coxiellalike,1,5
Crinalium,1,17
Croceibacter,1,11
Desulfomonile,1,24
Desulfurella,1,8
Chloroherpeton,1,8
Ezakiella,1,5
Faecalibaculum,1,6
Ferrimonas,1,19
Ferroglobus,1,11
Fervidicoccus,1,1
Fibrella,1,16
Fibrobacter,1,15
Filifactor,1,7
Filimonas,1,22
Fimbriimonas,1,16
Finegoldia,1,5
Fischerella,1,22
Flammeovirga,1,31
Flammeovirgaceae,1,23
Flavisolibacter,1,28
Flavonifractor,1,18
Flexistipes,1,11
Fluviicola,1,19
Frateuria,1,13
Frischella,1,12
Faecalibacterium,1,5
Ethanoligenens,1,9
Desulfurispirillum,1,9
Erysipelotrichaceae,1,13
Desulfurivibrio,1,6
Desulfurobacterium,1,3
Devosia,1,21
Devriesea,1,13
Dialister,1,4
Diaphorobacter,1,10
Dichelobacter,1,2
Dietzia,1,8
Dinoroseobacter,1,21
Dokdonella,1,18
Draconibacterium,1,14
Dyadobacter,1,21
Echinicola,1,15
Ectothiorhodospira,1,10
Eggerthellaceae,1,6
Eikenella,1,7
Elusimicrobium,1,6
Endomicrobium,1,6
Eremothecium,1,27
Chondrocystis,1,9
Chloracidobacterium,1,15
Gallibacterium,1,10
Alicycliphilus,1,22
Alistipes,1,10
Alkalilimnicola,1,8
Alkalitalea,1,22
Alloactinosynnema,1,26
Allochromatium,1,14
Allofrancisella,1,7
Aminobacter,1,20
Aminobacterium,1,6
Ammonifex,1,3
Amphibacillus,1,4
Anaerolinea,1,15
Anaerostipes,1,11
Antarctobacter,1,8
Aquaspirillum,1,17
Aquifex,1,5
Arachidicoccus,1,22
Arcanobacterium,1,8
Archangium,1,40
Ardenticatena,1,12
Alicyclobacillus,1,11
Algoriphagus,1,18
Arsenicicoccus,1,17
Algibacter,1,10
Acetobacterium,1,11
Acetohalobium,1,10
Acetomicrobium,1,9
Acidihalobacter,1,11
Acidimicrobium,1,4
Acidipropionibacterium,1,5
Acidobacterium,1,14
Acidothermus,1,4
Actinopolyspora,1,24
Actinotignum,1,11
Adlercreutzia,1,8
Aequorivita,1,7
Aeribacillus,1,5
Aeromicrobium,1,7
Agarilytica,1,20
Agarivorans,1,13
Agromyces,1,10
Alcaligenaceae,1,13
Alcaligenes,1,14
Arenibacter,1,21
Arsenophonus,1,3
Chelativorans,1,14
Blastochloris,1,11
Botrytis,1,137
Brenneria,1,15
Brochothrix,1,7
Buchnera,1,1
Caldilinea,1,12
Caldimicrobium,1,1
Caldisericum,1,4
Caldisphaera,1,3
Calditerrivibrio,1,4
Caldithrix,1,20
Caldivirga,1,2
Candida,1,45
Carboxydothermus,1,11
Cardinium,1,3
Castellaniella,1,10
Catenulispora,1,31
Caulobacteraceae,1,12
Cedecea,1,8
Chania,1,16
Blastococcus,1,14
Bibersteinia,1,8
Asaia,1,11
Beutenbergia,1,16
Aster,1,2
Asticcacaulis,1,11
Atopobium,1,6
Aurantimicrobium,1,6
Aureimonas,1,8
Auricoccus,1,5
Azorhizobium,1,21
Bacterioplanes,1,6
Bacteriovorax,1,8
Bacteroidales,1,12
Barnesiella,1,9
Basilea,1,8
Baumannia,1,1
Beggiatoa,1,14
Beijerinckia,1,17
Belliella,1,10
Bernardetia,1,18
Beta,1,8
Betaproteobacteria,1,19
Fuerstia,1,31
Gallionella,1,9
Oceanobacillus,1,17
Methanohalobium,1,5
Methanomethylovorans,1,10
Methanopyrus,1,5
Methanosalsum,1,7
Methanosphaera,1,8
Methanosphaerula,1,7
Methanospirillum,1,9
Methanothermococcus,1,9
Methanothermus,1,6
Methanotorris,1,6
Methylibium,1,14
Methylobacillus,1,4
Methylocaldum,1,16
Methyloceanibacter,1,16
Methylocella,1,16
Methylococcus,1,14
Methylomicrobium,1,11
Methylophilus,1,10
Methylorubrum,1,19
Methyloversatilis,1,11
Methanolacinia,1,19
Methanogenic,1,11
Micavibrio,1,10
Methanocorpusculum,1,9
Mageeibacillus,1,9
Magnetococcus,1,13
Magnetospira,1,11
Mahella,1,11
Maize,1,4
Maricaulis,1,18
Marichromatium,1,8
Marinifilaceae,1,16
Marinilactibacillus,1,10
Marinobacterium,1,18
Marinovum,1,13
Marivirga,1,21
Marivivens,1,12
Megamonas,1,6
Megasphaera,1,8
Melioribacter,1,11
Melissococcus,1,5
Melittangium,1,39
Mesotoga,1,4
Methylovulum,1,21
Microcella,1,7
Luteipulveratus,1,15
Natronolimnobius,1,16
Neoasaia,1,11
Neodiprion,1,1
Neomicrococcus,1,11
Niastella,1,32
Nibricoccus,1,19
Nitratifractor,1,5
Nitratireductor,1,9
Nitratiruptor,1,9
Nitrosopumilus,1,6
Nitrososphaera,1,8
Nitrospirillum,1,20
Nonomuraea,1,43
Nostocales,1,27
Novibacillus,1,14
Obesumbacterium,1,20
Oblitimonas,1,5
Oceanicoccus,1,9
Oceanimonas,1,12
Oceanithermus,1,7
Nautilia,1,4
Natronococcus,1,18
Micrococcus,1,6
Natronobacterium,1,12
Microcoleus,1,24
Microlunatus,1,16
Micromonas,1,65
Microterricola,1,15
Microvirga,1,18
Minicystis,1,56
Mitsuaria,1,19
Mobiluncus,1,6
Modestobacter,1,19
Moorea,1,34
Moorella,1,17
Morganella,1,12
Moritella,1,12
Mucinivorans,1,8
Murdochiella,1,9
Muribaculum,1,12
Nakamurella,1,16
Natranaerobius,1,8
Natrialba,1,16
Luteitalea,1,26
Luteimonas,1,3
Gardnerella,1,8
Haliangium,1,38
Halobacteroides,1,2
Halobiforma,1,9
Halocynthiibacter,1,15
Halodesulfurarchaeum,1,8
Halogeometricum,1,5
Halomicrobium,1,13
Halopenitus,1,8
Halophilic,1,8
Halopiger,1,15
Haloquadratum,1,14
Halorhodospira,1,4
Halorientalis,1,13
Halostagnicola,1,5
Halotalea,1,14
Halothece,1,17
Halothermothrix,1,7
Halovivax,1,6
Heliobacterium,1,7
Herbinix,1,6
Haliscomenobacter,1,28
Halanaeroarchaeum,1,4
Hirschia,1,13
Halalkalicoccus,1,11
Geitlerinema,1,13
Gemella,1,6
Gemmata,1,29
Gemmatirosa,1,15
Geoalkalibacter,1,8
Geodermatophilus,1,17
Geosporobacter,1,18
Gibbsiella,1,18
Gilliamella,1,8
Gloeocapsa,1,19
Gluconacetobacter,1,10
Glutamicibacter,1,17
Gordonibacter,1,13
Gottschalkia,1,8
Granulibacter,1,8
Granulosicoccus,1,24
Gynuella,1,25
Haematospirillum,1,4
Hahella,1,26
Hippea,1,6
Hoeflea,1,19
Luteibacter,1,12
Kurthia,1,10
Kyrpidia,1,8
Kytococcus,1,6
Labilithrix,1,38
Lacimicrobium,1,20
Lacunisphaera,1,13
Laribacter,1,11
Lawsonella,1,5
Leadbetterella,1,14
Leclercia,1,10
Leifsonia,1,9
Leishmania,1,122
Leisingera,1,11
Lentibacillus,1,7
Lentzea,1,28
Leptothrix,1,17
Levyella,1,8
Liberibacter,1,4
Limnochorda,1,11
Loktanella,1,13
Kutzneria,1,31
Kribbella,1,30
Hoyosella,1,10
Kozakia,1,10
Hungateiclostridiaceae,1,15
Hydrogenobacter,1,3
Hyperthermus,1,5
Ichthyobacterium,1,7
Ignavibacterium,1,14
Ilumatobacter,1,21
Ilyobacter,1,6
Immundisolibacter,1,7
Intestinimonas,1,6
Intrasporangium,1,15
Isosphaera,1,15
Janibacter,1,12
Jannaschia,1,12
Jeongeupia,1,9
Jeotgalibacillus,1,13
Jonesia,1,14
Kibdelosporangium,1,29
Kineococcus,1,23
Kiritimatiella,1,12
secondary,1,2
