genera,Genera Count,Number of Contigs
Candidatus,87,457
Pseudomonas,72,1375
Streptomyces,67,1845
Bacillus,63,916
Corynebacterium,48,432
Mycobacterium,45,780
Burkholderia,44,1019
Lactobacillus,44,318
Streptococcus,40,272
Mycoplasma,39,122
Clostridium,36,483
Thermococcus,28,177
Paenibacillus,28,738
Vibrio,27,395
Staphylococcus,27,201
Campylobacter,25,125
Rhizobium,24,354
Pseudoalteromonas,21,300
Rickettsia,21,81
Photobacterium,21,59
Shewanella,21,321
Spiroplasma,20,73
Rhodococcus,20,377
Acinetobacter,19,198
Bordetella,16,256
Bifidobacterium,16,117
Synechococcus,16,220
Bartonella,15,92
Sphingobium,14,171
Enterobacter,14,208
Serratia,14,177
Brucella,14,129
Sphingomonas,13,165
Xanthomonas,13,225
Geobacillus,13,161
Arthrobacter,12,178
Halomonas,12,160
Deinococcus,12,118
Capnocytophaga,12,125
Methanosarcina,11,139
Yersinia,11,160
Desulfovibrio,11,141
Microbacterium,11,114
Treponema,11,85
Helicobacter,11,65
Planococcus,11,134
Francisella,11,68
Thermotoga,10,54
Geobacter,10,141
Bacteroides,10,176
Methylobacterium,10,201
Psychrobacter,10,110
Borrelia,10,34
Thermoanaerobacter,9,84
Enterococcus,9,94
Bradyrhizobium,9,258
Citrobacter,9,147
Pandoraea,9,144
Neisseria,9,74
Flavobacterium,9,110
Paraburkholderia,9,183
Actinomyces,9,66
Legionella,9,106
Caldicellulosiruptor,8,77
Klebsiella,8,153
Mesorhizobium,8,167
Marinobacter,8,104
Acetobacter,8,91
Prevotella,8,85
Chryseobacterium,8,100
Acidovorax,8,111
Pantoea,8,107
Aeromonas,8,131
Alteromonas,8,122
Sulfurospirillum,8,64
Eubacterium,7,68
Ralstonia,7,122
Stenotrophomonas,7,95
Nocardia,7,169
Hymenobacter,7,108
Erwinia,7,89
Thermus,7,42
Edwardsiella,7,95
Nitrosomonas,7,69
Pyrococcus,7,38
Sphingopyxis,7,102
Chlamydia,7,26
Altererythrobacter,7,63
Cronobacter,7,115
Leuconostoc,7,55
Pseudonocardia,7,154
Listeria,6,62
Chlorobium,6,51
Sinorhizobium,6,64
Methanocaldococcus,6,31
Dickeya,6,92
