genera,Genera Count,Number of Contigs
Akkermansia,2,41
Microcystis,2,63
Gluconobacter,2,43
Salinispora,2,93
Cellulosimicrobium,2,49
Granulicella,2,73
Winogradskyella,2,66
Pelosinus,2,76
Hafnia,2,62
Methylovorus,2,26
Methylotenera,2,39
Halanaerobium,2,25
Saccharomyces,2,93
Halioglobus,2,60
Methanoregula,2,40
Halobacillus,2,63
Hungateiclostridium,2,62
Vulcanisaeta,2,40
Thermoplasma,2,21
Vagococcus,2,21
Meiothermus,2,46
Thioalkalimicrobium,2,25
Lachnoclostridium,2,75
Massilia,2,87
Lacinutrix,2,55
Bdellovibrio,2,49
Psychromonas,2,59
Aneurinibacillus,2,47
Porphyrobacter,2,55
Pseudoxanthomonas,2,49
Marinitoga,2,32
Butyrivibrio,2,46
Porphyromonas,2,24
Lelliottia,2,53
Azotobacter,2,72
Ureaplasma,2,8
Leptotrichia,2,51
Prochlorococcus,2,24
Propionibacterium,2,33
Limnohabitans,2,41
Tumebacillus,2,79
Proteus,2,59
Polaromonas,2,58
Kushneria,2,52
Rahnella,2,55
Kosmotoga,2,39
Burkholderiales,2,43
Thermoproteus,2,25
Hyphomonas,2,50
Gemmatimonas,2,61
Idiomarina,2,35
Ignicoccus,2,24
Methanohalophilus,2,27
Plasmodium,2,177
Isoptericola,2,44
Alpha,2,19
Methanococcoides,2,22
Jeotgalibaca,2,25
Blochmannia,2,14
Anaerococcus,2,28
Rathayibacter,2,39
Metallosphaera,2,36
Blautia,2,42
Blastomonas,2,47
Kluyveromyces,2,150
Veillonella,2,20
Anaerolineaceae,2,40
Pasteurella,2,30
Lutibacter,2,50
Nitrobacter,2,59
Comamonadaceae,2,27
Acidaminococcus,2,34
Oscillatoria,2,126
Cutibacterium,2,37
Acholeplasma,2,17
Erysipelothrix,2,27
Niabella,2,73
Cyanobacterium,2,74
Cyanobium,2,41
Neorhizobium,2,42
Desulfomicrobium,2,38
Desulfococcus,2,66
Sulfitobacter,2,46
Natronomonas,2,38
Chromobacterium,2,59
