genera,Genera Count,Number of Contigs
Photobacterium,160,548
Candidatus,92,5175
Pseudomonas,72,14804
Streptomyces,67,19958
Bacillus,63,9438
Corynebacterium,48,4636
Mycobacterium,45,8703
Burkholderia,44,10893
Lactobacillus,44,3425
Streptococcus,40,2861
Lawsonia,40,40
Mycoplasma,39,1183
Clostridium,36,5154
Paenibacillus,28,7777
Thermococcus,28,1926
Staphylococcus,27,2446
Vibrio,27,4608
Campylobacter,26,1521
Rhizobium,24,3715
Rickettsia,22,1029
Pseudoalteromonas,21,3358
Shewanella,21,3703
Rhodococcus,20,4071
Spiroplasma,20,861
Acinetobacter,19,2421
Synechococcus,16,2341
Bordetella,16,2869
Bifidobacterium,16,1235
Bartonella,15,967
Brucella,14,1453
Enterobacter,14,2581
Serratia,14,2439
Sphingobium,14,2049
Geobacillus,13,1609
Xanthomonas,13,2412
Sphingomonas,13,1979
Halomonas,12,1769
Capnocytophaga,12,1195
Deinococcus,12,1263
Arthrobacter,12,1865
Treponema,11,1055
Borrelia,11,344
Methanosarcina,11,1654
Yersinia,11,1611
Planococcus,11,1309
Desulfovibrio,11,1494
Francisella,11,751
Helicobacter,11,707
Microbacterium,11,1374
Methylobacterium,10,2215
Thermotoga,10,638
Psychrobacter,10,1087
Bacteroides,10,1806
Geobacter,10,1485
Bradyrhizobium,9,2774
Pandoraea,9,1757
Thermoanaerobacter,9,788
Enterococcus,9,1003
Paraburkholderia,9,2374
Neisseria,9,682
Flavobacterium,9,1256
Citrobacter,9,1594
Legionella,9,1012
Actinomyces,9,894
Prevotella,8,758
Leuconostoc,8,589
Klebsiella,8,1558
Caldicellulosiruptor,8,753
Aeromonas,8,1354
Chryseobacterium,8,1331
Pantoea,8,1161
Marinobacter,8,1195
Acetobacter,8,953
Alteromonas,8,1259
Blattabacterium,8,179
Acidovorax,8,1220
Mesorhizobium,8,1857
Sulfurospirillum,8,797
Edwardsiella,7,969
Chlamydia,7,259
Cronobacter,7,1053
Altererythrobacter,7,675
Pyrococcus,7,425
Hymenobacter,7,1186
Ralstonia,7,1322
Erwinia,7,954
Pseudonocardia,7,1560
Eubacterium,7,826
Stenotrophomonas,7,1081
Sphingopyxis,7,1027
Thermus,7,499
Nocardia,7,1917
Wuhan,6,11
Listeria,6,615
Chlorobium,6,538
Weissella,6,413
Aerococcus,6,418
Cupriavidus,6,1412
Methanocaldococcus,6,312
Nitrosomonas,6,704
Methanobrevibacter,6,434
Dickeya,6,1039
Janthinobacterium,6,1131
Gordonia,6,1100
Exiguobacterium,6,611
Haemophilus,6,429
Desulfotomaculum,6,792
Sinorhizobium,6,864
Brachyspira,5,516
Brachybacterium,5,735
Agrobacterium,5,894
Alcanivorax,5,692
Sulfolobus,5,480
Brevundimonas,5,593
Xenorhabdus,5,757
Elizabethkingia,5,693
Calothrix,5,1592
Shigella,5,768
Ehrlichia,5,204
Actinobacteria,5,274
Herbaspirillum,5,963
Amycolatopsis,5,1585
Methanobacterium,5,427
Virgibacillus,5,718
Carnobacterium,5,494
Frankia,5,1278
Anoxybacillus,5,567
Hydrogenobaculum,5,287
Leptospira,5,714
Azoarcus,5,848
Thioalkalivibrio,5,587
Pyrobaculum,5,399
Sphingobacterium,5,989
Actinobacillus,4,346
