genera,Genera Count,Number of Contigs
Pseudoxanthomonas,2,477
Rathayibacter,2,393
Lacinutrix,2,486
Lelliottia,2,635
Methanococcoides,2,366
Jeotgalibaca,2,332
Ferroplasma,2,273
Rahnella,2,639
Lachnoclostridium,2,861
Ketogulonicigenium,2,367
Kushneria,2,512
Leptotrichia,2,606
Lutibacter,2,470
Ignicoccus,2,199
Saccharomyces,2,840
Glaciecola,2,677
Halorhabdus,2,402
Gloeobacter,2,628
Ruminococcus,2,446
Massilia,2,914
Proteus,2,543
Gluconobacter,2,408
Gokushovirinae,2,2
Porphyromonas,2,322
Shuangao,2,2
Halobacillus,2,584
Propionibacterium,2,365
Granulicella,2,675
Salmonella,2,654
Halioglobus,2,613
Prochlorococcus,2,386
Halanaerobium,2,378
Salinispora,2,740
Porphyrobacter,2,409
Sedimentisphaera,2,436
Geoglobus,2,269
Halorubrum,2,423
Idiomarina,2,377
Formosa,2,340
Hyphomonas,2,540
Hungateiclostridium,2,616
Polaromonas,2,704
Hafnia,2,665
Frondihabitans,2,529
Roseiflexus,2,769
Roseobacter,2,604
Herminiimonas,2,524
Shayang,2,5
Geminocystis,2,561
Gemmatimonas,2,646
Halothiobacillus,2,376
Haloterrigena,2,509
Rubrobacter,2,424
Meiothermus,2,451
Methanohalophilus,2,286
Marinitoga,2,295
Thermocrinis,2,200
Thermoplasma,2,205
Natronomonas,2,409
Parabacteroides,2,746
Bdellovibrio,2,421
Natrinema,2,538
Thioalkalimicrobium,2,299
Blastomonas,2,519
Blautia,2,603
Blochmannia,2,166
Muricauda,2,511
Burkholderiales,2,452
Butyrivibrio,2,475
Caenorhabditis,2,7019
Thermoproteus,2,278
Pasteurella,2,309
Terriglobus,2,706
Thermodesulfobacterium,2,253
Cellulosimicrobium,2,662
Chelatococcus,2,574
Chitinophaga,2,927
Chlorobaculum,2,384
Chloroflexus,2,671
Thermoanaerobacterium,2,328
Micromonospora,2,991
Micromonas,2,1459
Chromobacterium,2,709
Microcystis,2,753
Circoviridae,2,3
Pelosinus,2,726
Azotobacter,2,675
Neorhizobium,2,424
Niabella,2,735
Tumebacillus,2,700
Acholeplasma,2,196
Acidaminococcus,2,320
Acidianus,2,332
Acidilobus,2,215
Oceanisphaera,2,493
Acidiphilium,2,474
Aciduliprofundum,2,229
Actinosynnema,2,1142
Advenella,2,666
Oscillatoria,2,1050
Aeropyrum,2,211
Aggregatibacter,2,308
Akkermansia,2,391
Winogradskyella,2,485
Nocardioides,2,707
Aliivibrio,2,632
Wenzhou,2,3
Alkaliphilus,2,563
Alpha,2,202
Vulcanisaeta,2,348
Anaerococcus,2,283
Anaerolineaceae,2,415
Aneurinibacillus,2,558
Nitrobacter,2,520
Veillonella,2,292
Vagococcus,2,324
Ureaplasma,2,109
Comamonadaceae,2,394
Psychromonas,2,550
Sulfurimonas,2,327
Dehalococcoides,2,203
Cyanothece,2,1897
Dyella,2,688
Methylocystis,2,576
Methanoregula,2,396
Stanieria,2,732
Dictyoglomus,2,262
Phycisphaerae,2,572
Staphylothermus,2,224
Sulfurovum,2,321
Methanosaeta,2,414
Desulfuromonas,2,542
Eggerthella,2,481
Dehalogenimonas,2,309
Desulfurococcus,2,214
Picornavirales,2,2
Dermabacter,2,335
Planctomyces,2,1019
Sulfitobacter,2,475
Sulfurihydrogenibium,2,246
Desulfomicrobium,2,482
Methylacidiphilum,2,343
Desulfococcus,2,613
Cyanobium,2,432
Cyclobacterium,2,902
Cyanobacterium,2,711
Cryobacterium,2,596
Methylovorus,2,420
Taylorella,2,223
Erysipelothrix,2,292
Coxiella,2,186
Enterobacteriaceae,2,511
Methylotenera,2,397
Ensifer,2,563
Croceicoccus,2,452
Sphingorhabdus,2,476
Pirellula,2,859
Cutibacterium,2,312
Spiribacter,2,292
Methylophaga,2,384
Spirochaeta,2,418
Opitutus,1,433
Pseudoplusia,1,8
Paenalcaligenes,1,176
Piscirickettsia,1,199
Psychroflexus,1,295
Oligotropha,1,266
Pleurocapsa,1,339
Pseudorhodoplanes,1,413
Ornithobacterium,1,163
Oxalobacter,1,197
Pseudopropionibacterium,1,259
Opitutaceae,1,529
Planctopirus,1,345
Owenweeksia,1,301
Pluralibacter,1,365
Pseudopedobacter,1,307
PoSCV,1,1
Oscillibacter,1,255
Plantactinospora,1,454
Ostreococcus,1,887
Orientia,1,155
Ottowia,1,194
Persephonella,1,142
Paenarthrobacter,1,327
Pseudanabaena,1,324
Parvimonas,1,129
Parvularcula,1,188
Paucibacter,1,377
Protochlamydia,1,200
Plautia,1,307
Pelagibaca,1,270
Pelagibacterium,1,252
Proteiniphilum,1,273
Phenylobacterium,1,286
