genera,Genera Count,Number of Contigs
Candidatus,91,1678
Pseudomonas,72,4870
Streptomyces,67,6420
Bacillus,63,3031
Corynebacterium,48,1506
Mycobacterium,45,2758
Lactobacillus,44,1125
Burkholderia,44,3622
Streptococcus,40,965
Mycoplasma,39,365
Photobacterium,38,159
Clostridium,36,1679
Paenibacillus,28,2555
Thermococcus,28,628
Staphylococcus,27,825
Vibrio,27,1553
Campylobacter,26,527
Rhizobium,24,1291
Rickettsia,22,325
Shewanella,21,1196
Pseudoalteromonas,21,1081
Spiroplasma,20,275
Rhodococcus,20,1306
Lawsonia,19,19
Acinetobacter,19,795
Bordetella,16,889
Synechococcus,16,801
Bifidobacterium,16,363
Bartonella,15,280
Serratia,14,787
Enterobacter,14,897
Sphingobium,14,673
Brucella,14,484
Geobacillus,13,523
Xanthomonas,13,804
Sphingomonas,13,636
Arthrobacter,12,595
Halomonas,12,616
Capnocytophaga,12,410
Deinococcus,12,430
Yersinia,11,609
Borrelia,11,123
Microbacterium,11,446
Treponema,11,351
Francisella,11,249
Desulfovibrio,11,498
Planococcus,11,444
Helicobacter,11,201
Methanosarcina,11,544
Bacteroides,10,624
Thermotoga,10,208
Methylobacterium,10,705
Psychrobacter,10,335
Geobacter,10,484
Legionella,9,343
Citrobacter,9,518
Enterococcus,9,309
Thermoanaerobacter,9,262
Bradyrhizobium,9,959
Flavobacterium,9,386
Neisseria,9,228
Pandoraea,9,560
Actinomyces,9,256
Paraburkholderia,9,784
Alteromonas,8,370
Acetobacter,8,302
Chryseobacterium,8,443
Acidovorax,8,396
Pantoea,8,435
Aeromonas,8,443
Klebsiella,8,524
Blattabacterium,8,62
Leuconostoc,8,180
Prevotella,8,242
Caldicellulosiruptor,8,265
Marinobacter,8,353
Mesorhizobium,8,574
Sulfurospirillum,8,253
Thermus,7,184
Nocardia,7,635
Erwinia,7,336
Pyrococcus,7,165
Nitrosomonas,7,232
Hymenobacter,7,370
Sphingopyxis,7,290
Edwardsiella,7,325
Pseudonocardia,7,551
Eubacterium,7,254
Altererythrobacter,7,231
Chlamydia,7,102
Cronobacter,7,361
Stenotrophomonas,7,373
Ralstonia,7,416
Weissella,6,135
Sinorhizobium,6,256
Gordonia,6,358
Haemophilus,6,125
Aerococcus,6,113
Chlorobium,6,160
Exiguobacterium,6,198
Methanocaldococcus,6,102
Listeria,6,224
Dickeya,6,334
Cupriavidus,6,492
