genera,Genera Count,Number of Contigs
Desulfotomaculum,6,256
Janthinobacterium,6,372
Methanobrevibacter,6,169
Herbaspirillum,5,325
Hydrogenobaculum,5,85
Brevundimonas,5,226
Xenorhabdus,5,259
Carnobacterium,5,167
Anoxybacillus,5,176
Actinobacteria,5,89
Frankia,5,384
Shigella,5,279
Brachybacterium,5,234
Amycolatopsis,5,504
Methanobacterium,5,154
Sphingobacterium,5,322
Elizabethkingia,5,261
Ehrlichia,5,90
Sulfolobus,5,150
Brachyspira,5,178
Calothrix,5,545
Leptospira,5,231
Virgibacillus,5,231
Thioalkalivibrio,5,177
Alcanivorax,5,218
Azoarcus,5,246
Pyrobaculum,5,130
Agrobacterium,5,288
Magnetospirillum,4,196
Thauera,4,218
Cellulomonas,4,200
Novosphingobium,4,186
Actinobacillus,4,93
Actinoalloteichus,4,317
Lactococcus,4,106
Chlamydophila,4,45
Bosea,4,246
Anabaena,4,253
Methylomonas,4,232
Phaeobacter,4,171
Ochrobactrum,4,216
Pseudothermotoga,4,90
Methanothermobacter,4,78
Methanococcus,4,83
Nostoc,4,453
Erythrobacter,4,117
Leptolyngbya,4,269
Celeribacter,4,165
Tessaracoccus,4,165
Colwellia,4,272
Endosymbiont,4,81
Comamonas,4,224
Delftia,4,281
Desulfitobacterium,4,163
Spirosoma,4,306
Sporosarcina,4,192
Lysobacter,4,296
Prosthecochloris,4,104
Arcobacter,4,149
Mannheimia,4,112
Polaribacter,4,145
Myroides,4,170
Myxococcus,4,450
Rhodoferax,4,223
Thermosipho,4,83
Moraxella,4,90
Kosakonia,4,253
Maribacter,4,188
Archaeoglobus,4,87
Rhodobacter,4,187
Komagataeibacter,4,163
Paracoccus,4,159
Caulobacter,4,192
Pelobacter,4,157
Actinoplanes,4,415
Pectobacterium,4,323
Pedobacter,4,274
Pediococcus,4,85
Methanocella,3,94
Hyphomicrobium,3,145
Pseudarthrobacter,3,163
Nitrospira,3,128
Providencia,3,143
Dokdonia,3,132
Nitrosospira,3,130
Gramella,3,126
Polynucleobacter,3,68
Mucilaginibacter,3,193
Lysinibacillus,3,183
Nocardiopsis,3,222
Macrococcus,3,71
Nonlabens,3,86
Leptospirillum,3,94
Desulfosporosinus,3,174
Olsenella,3,82
Kitasatospora,3,265
Dehalobacter,3,116
Marinomonas,3,153
Nitrosococcus,3,103
Rhodospirillum,3,144
Martelella,3,157
Haloarcula,3,116
Mesoplasma,3,27
Labrenzia,3,216
Fusobacterium,3,101
Selenomonas,3,140
Halobacterium,3,85
Haloferax,3,93
Rufibacter,3,165
Photorhabdus,3,193
Fervidobacterium,3,72
Sodalis,3,129
Ruegeria,3,115
Rothia,3,76
Microbulbifer,3,122
Methanoculleus,3,108
Escherichia,3,170
Sphaerochaeta,3,79
Rhodovulum,3,147
Kocuria,3,108
Kluyveromyces,3,272
Neorickettsia,3,28
Hydrogenophaga,3,150
Pontibacter,3,175
Kangiella,3,99
Octadecabacter,3,169
Achromobacter,3,213
Wolbachia,3,96
Tenacibaculum,3,126
Brevibacterium,3,122
Acidithiobacillus,3,105
Brevibacillus,3,195
Borreliella,3,27
Thermofilum,3,63
Curtobacterium,3,122
Anaeromyxobacter,3,188
Variovorax,3,193
Anaplasma,3,49
Cellulophaga,3,163
Collimonas,3,174
Cycloclasticus,3,87
Wuhan,3,3
Cellvibrio,3,182
Azospirillum,3,174
Roseiflexus,2,157
Methylacidiphilum,2,66
Aggregatibacter,2,44
Halorubrum,2,68
Roseobacter,2,102
Geoglobus,2,51
Haloterrigena,2,83
Micromonospora,2,141
Cellulosimicrobium,2,91
Salmonella,2,97
Aliivibrio,2,106
Phycisphaerae,2,85
Halothiobacillus,2,54
Pirellula,2,150
Herminiimonas,2,83
Alkaliphilus,2,92
Methanosaeta,2,58
Methanoregula,2,80
Planctomyces,2,147
Halorhabdus,2,72
Thermodesulfobacterium,2,35
Rubrobacter,2,81
Gluconobacter,2,68
Gloeobacter,2,98
Salinispora,2,130
Granulicella,2,126
Winogradskyella,2,91
Glaciecola,2,120
Methylovorus,2,61
Pelosinus,2,115
Hafnia,2,105
Methylotenera,2,73
Halanaerobium,2,62
Methylophaga,2,68
Microcystis,2,109
Hungateiclostridium,2,87
Halioglobus,2,108
Saccharomyces,2,154
Halobacillus,2,106
Thermocrinis,2,31
Methylocystis,2,88
Ruminococcus,2,74
Akkermansia,2,79
Thermoproteus,2,32
Thermoplasma,2,34
Marinitoga,2,48
Kushneria,2,78
Massilia,2,130
Thioalkalimicrobium,2,57
Lachnoclostridium,2,133
Lacinutrix,2,80
Bdellovibrio,2,79
Psychromonas,2,69
Aneurinibacillus,2,87
Porphyrobacter,2,70
Pseudoxanthomonas,2,93
Vagococcus,2,51
Butyrivibrio,2,86
Porphyromonas,2,46
Lelliottia,2,105
Azotobacter,2,106
Ureaplasma,2,21
Prochlorococcus,2,60
Leptotrichia,2,120
Propionibacterium,2,43
Limnohabitans,2,66
Tumebacillus,2,110
Lutibacter,2,73
Rahnella,2,118
Polaromonas,2,106
Meiothermus,2,72
Kosmotoga,2,61
Burkholderiales,2,83
Methanohalophilus,2,46
Gemmatimonas,2,103
Hyphomonas,2,86
Idiomarina,2,57
Plasmodium,2,265
Ignicoccus,2,27
Vulcanisaeta,2,57
Methanococcoides,2,51
Isoptericola,2,103
Alpha,2,33
Jeotgalibaca,2,49
Metallosphaera,2,34
Ketogulonicigenium,2,50
Anaerococcus,2,45
Rathayibacter,2,60
Veillonella,2,51
Blochmannia,2,26
Blautia,2,103
Blastomonas,2,92
Anaerolineaceae,2,68
Pasteurella,2,47
Proteus,2,97
Natrinema,2,69
Cyanothece,2,318
Niabella,2,123
Acidianus,2,57
Acidiphilium,2,75
Erysipelothrix,2,44
Neorhizobium,2,80
Acidaminococcus,2,57
Nocardioides,2,93
Cutibacterium,2,57
Acholeplasma,2,25
Cyanobacterium,2,105
Chromobacterium,2,108
Desulfomicrobium,2,76
Natronomonas,2,62
Desulfococcus,2,113
Sulfitobacter,2,96
Ferroplasma,2,48
Acidilobus,2,31
Terriglobus,2,122
Enterobacteriaceae,2,94
Desulfurococcus,2,28
Spiribacter,2,44
Dictyoglomus,2,40
Croceicoccus,2,79
Nitrobacter,2,96
Coxiella,2,32
Spirochaeta,2,62
Dyella,2,93
Stanieria,2,145
Sphingorhabdus,2,80
Ensifer,2,77
Cryobacterium,2,125
Eggerthella,2,76
Staphylothermus,2,31
Taylorella,2,47
Desulfuromonas,2,79
Geminocystis,2,82
Comamonadaceae,2,54
Cyanobium,2,68
Oscillatoria,2,167
Chloroflexus,2,109
Muricauda,2,71
Formosa,2,52
Chlorobaculum,2,58
Dehalococcoides,2,36
Chelatococcus,2,96
Dehalogenimonas,2,31
Aeropyrum,2,35
Cyclobacterium,2,150
Flavobacteriaceae,2,70
Thermoanaerobacterium,2,56
Sulfurihydrogenibium,2,40
Advenella,2,101
Frondihabitans,2,78
Sulfurimonas,2,47
Chitinophaga,2,152
Sedimentisphaera,2,75
Aciduliprofundum,2,35
Actinosynnema,2,198
Oceanisphaera,2,79
Parabacteroides,2,126
Sulfurovum,2,53
Dermabacter,2,53
Fictibacillus,2,82
Zunongwangia,1,67
Plesiomonas,1,43
Trueperella,1,26
Turicibacter,1,28
Tsukamurella,1,50
Odoribacter,1,52
Turneriella,1,47
Oenococcus,1,17
Ornithobacterium,1,21
Propionimicrobium,1,20
Variibacter,1,38
Pleurocapsa,1,43
Polymorphum,1,66
complete,1,41
Opitutaceae,1,74
Oligotropha,1,46
Porphyromonadaceae,1,29
Zymomonas,1,18
Oleispira,1,54
Opitutus,1,73
Pragia,1,63
Pluralibacter,1,62
Prauserella,1,69
Polyangium,1,89
Oleiphilus,1,82
Orientia,1,32
Ureibacillus,1,41
gamma,1,46
Uncultured,1,9
Parvularcula,1,28
Owenweeksia,1,50
Verminephrobacter,1,67
Pannonibacter,1,54
Petrotoga,1,37
Petrimonas,1,39
Persephonella,1,27
Yangia,1,48
Wigglesworthia,1,7
Xylella,1,25
Xylanimonas,1,42
Peptoniphilus,1,21
Peptoclostridium,1,29
Parachlamydia,1,31
Xanthobacter,1,61
Pelodictyon,1,31
Woeseia,1,51
Proteiniphilum,1,46
Pelagibacterium,1,49
Pelagibaca,1,36
Parageobacillus,1,43
Paraglaciecola,1,57
Paraphotobacterium,1,36
Wolinella,1,16
Parasaccharibacter,1,19
Parascardovia,1,16
Parvibaculum,1,53
Paucibacter,1,51
Parvimonas,1,22
Wenzhouxiangella,1,28
Phenylobacterium,1,36
Verrucomicrobia,1,67
Wenyingzhuangia,1,43
Verrucosispora,1,64
Zobellia,1,54
Vitreoscilla,1,45
Plautia,1,54
Oscillibacter,1,44
Plantactinospora,1,76
Ostreococcus,1,157
Ottowia,1,34
Oxalobacter,1,26
Vulgatibacter,1,56
Planctopirus,1,57
Piscirickettsia,1,36
Pimelobacter,1,57
Picrophilus,1,17
Waddlia,1,28
Phytobacter,1,67
Paenalcaligenes,1,30
Paenarthrobacter,1,63
Zobellella,1,50
Palaeococcus,1,21
Phycisphaera,1,49
Paludibacter,1,50
Paludisphaera,1,81
Zhongshania,1,56
Weeksella,1,29
Synechocystis,1,71
Rhizobacter,1,80
Protochlamydia,1,44
Simiduia,1,52
Seonamhaeicola,1,45
Serinicoccus,1,39
Thermincola,1,40
Shimwellia,1,49
Shinella,1,54
Siansivirga,1,39
Sideroxydans,1,26
Simkania,1,30
Solibacillus,1,45
Singulisphaera,1,99
Sinomonas,1,46
Thermanaerovibrio,1,21
Slackia,1,37
Thermaerobacter,1,28
Sneathia,1,17
Snodgrassella,1,23
Thermobacillus,1,42
Thermobaculum,1,35
Segniliparus,1,44
Sediminispirochaeta,1,57
Salinibacter,1,30
Salinicoccus,1,31
Thermobifida,1,42
Salinispira,1,40
Salinivirga,1,50
Salipiger,1,52
Sandaracinus,1,116
Sanguibacter,1,65
Sanxia,1,1
Saprospira,1,44
Scardovia,1,17
Sebaldella,1,43
Secondary,1,35
Sedimenticola,1,40
Sediminicola,1,43
Thermacetogenium,1,33
Solitalea,1,47
Truepera,1,45
Sulfolobales,1,1
Steroidobacter,1,36
Stigmatella,1,98
Streptobacillus,1,29
Syntrophothermus,1,37
Syntrophomonas,1,34
Streptosporangium,1,119
Sugiyamaella,1,175
Sulfuricaulis,1,33
Sorangium,1,130
Sulfuricella,1,36
Sulfuricurvum,1,28
Sulfuriferula,1,28
Sulfurifustis,1,50
Syntrophobotulus,1,41
Sulfuritalea,1,48
Syntrophobacter,1,54
Syntrophus,1,37
Starkeya,1,53
Stackebrandtia,1,69
Tacheng,1,2
Theileria,1,89
Sphaerobacter,1,39
Thalassotalea,1,40
Thalassospira,1,44
Thalassolituus,1,39
Tetragenococcus,1,28
Sphingobacteriaceae,1,64
Terribacillus,1,46
Teredinibacter,1,45
Tepidanaerobacter,1,35
Tatumella,1,44
Tatlockia,1,33
Tateyamaria,1,42
Tannerella,1,41
Spongiibacter,1,39
Salinarchaeum,1,42
Salimicrobium,1,24
Thermobispora,1,41
Ramlibacter,1,54
Thioclava,1,45
Pusillimonas,1,38
Thiobacillus,1,27
Thermovirga,1,21
Pyrodictium,1,22
Pyrolobus,1,25
Thermovibrio,1,18
Thermothielavioides,1,485
Salegentibacter,1,43
Thermothelomyces,1,438
Thermosynechococcus,1,31
Raoultella,1,54
Renibacterium,1,37
Symbiobacterium,1,36
Thermosulfidibacter,1,16
Rhizorhabdus,1,53
Psychroflexus,1,58
Thiocystis,1,55
Thioflavicoccus,1,51
Thiohalobacter,1,34
Pseudanabaena,1,39
Tropheryma,1,14
Trichodesmium,1,96
Tolumonas,1,23
Pseudodesulfovibrio,1,44
Tistrella,1,44
Pseudogulbenkiania,1,48
Thioploca,1,49
Thiomonas,1,49
Pseudohongiella,1,42
Thiomicrospira,1,28
Pseudopedobacter,1,50
Pseudopropionibacterium,1,45
Thiolapillus,1,36
Pseudorhodoplanes,1,74
Thermosphaera,1,19
Rhodanobacter,1,53
Rhodobacteraceae,1,40
Roseburia,1,41
Roseomonas,1,49
Roseovarius,1,50
Rubinisphaera,1,58
Rubrivivax,1,58
Thermodesulfovibrio,1,14
Thermodesulfobium,1,26
Ruminiclostridium,1,43
Thermodesulfatator,1,22
Ruminococcaceae,1,21
Rummeliibacillus,1,62
Saccharomonospora,1,44
Thermoclostridium,1,32
Saccharophagus,1,53
Saccharopolyspora,1,106
Saccharothrix,1,94
Roseibacterium,1,40
Thermogladius,1,14
Thermosediminibacter,1,28
Roseateles,1,66
Rhodoluna,1,17
Rhodomicrobium,1,49
Rhodopirellula,1,78
Rhodoplanes,1,95
Rhodopseudomonas,1,65
Thermoplasmatales,1,22
Rhodothermaceae,1,61
Rhodothermus,1,42
Thermomonospora,1,66
Thermomicrobium,1,17
Rickettsiales,1,19
Riemerella,1,20
Rivularia,1,113
Robiginitalea,1,40
Thermogutta,1,49
Acaryochloris,1,64
Marinilactibacillus,1,29
Oceanobacillus,1,56
Defluviimonas,1,55
Cryptobacterium,1,21
Cuniculiplasma,1,18
Cyanidioschyzon,1,196
Cystobacter,1,158
Cytophaga,1,60
Dactylococcopsis,1,54
Dechloromonas,1,47
Dechlorosoma,1,38
Deferribacter,1,23
Defluviitoga,1,21
Desulfocapsa,1,41
Dehalobacterium,1,44
Denitrobacterium,1,29
Denitrovibrio,1,31
Dermacoccus,1,33
Dermatophilus,1,35
Desulfarculus,1,43
Desulfatibacillum,1,83
Desulfobacca,1,43
Desulfobacterium,1,59
Croceibacter,1,29
Crinalium,1,65
Coxiellalike,1,26
Coriobacterium,1,33
Chloracidobacterium,1,46
Chloroherpeton,1,26
Chondrocystis,1,50
Chondromyces,1,106
Chromatiaceae,1,57
Chromohalobacter,1,50
Chroococcidiopsis,1,81
Circoviridae,1,1
Citromicrobium,1,33
Clavibacter,1,46
Cloacibacillus,1,49
Cnuibacter,1,49
Cobetia,1,54
Conexibacter,1,73
Confluentimicrobium,1,37
Coprothermobacter,1,10
Coraliomargarita,1,46
Corallococcus,1,113
Coriobacteriaceae,1,18
Desulfobacula,1,52
Desulfohalobium,1,30
Frischella,1,42
Filifactor,1,22
Ethanoligenens,1,34
Ezakiella,1,20
Faecalibacterium,1,27
Faecalibaculum,1,23
Ferrimonas,1,48
Ferroglobus,1,18
Fervidicoccus,1,10
Fibrella,1,69
Fibrobacter,1,37
Filimonas,1,96
Desulfomonile,1,77
Fimbriimonas,1,59
Finegoldia,1,21
Fischerella,1,73
Flammeovirga,1,83
Flammeovirgaceae,1,80
Flavisolibacter,1,49
Flavonifractor,1,41
Flexistipes,1,25
Fluviicola,1,59
Erysipelotrichaceae,1,50
Eremothecium,1,100
Endomicrobium,1,19
Elusimicrobium,1,23
Desulfotalea,1,44
Desulfurella,1,14
Desulfurispirillum,1,25
Desulfurivibrio,1,39
Desulfurobacterium,1,21
Devosia,1,60
Devriesea,1,31
Dialister,1,15
Diaphorobacter,1,44
Dichelobacter,1,13
Dietzia,1,34
Dinoroseobacter,1,36
Dokdonella,1,45
Draconibacterium,1,59
Dyadobacter,1,81
Echinicola,1,69
Ectothiorhodospira,1,27
Eggerthellaceae,1,17
Eikenella,1,31
Chelativorans,1,61
Chania,1,73
Changping,1,1
Amphibacillus,1,31
Alistipes,1,46
Alkalilimnicola,1,46
Alkalitalea,1,58
Alloactinosynnema,1,97
Allochromatium,1,28
Allofrancisella,1,18
Aminobacter,1,54
Aminobacterium,1,18
Ammonifex,1,17
Anaerolinea,1,50
Cedecea,1,51
Anaerostipes,1,29
Antarctobacter,1,62
Aquaspirillum,1,50
Aquifex,1,21
Arachidicoccus,1,46
Arcanobacterium,1,16
Archangium,1,142
Ardenticatena,1,55
Arenibacter,1,73
Alicyclobacillus,1,30
Alicycliphilus,1,50
Algoriphagus,1,53
Algibacter,1,58
Acetobacterium,1,42
Acetohalobium,1,30
Acetomicrobium,1,26
Acidihalobacter,1,40
Acidimicrobium,1,26
Acidipropionibacterium,1,49
Acidobacterium,1,37
Acidothermus,1,26
Actinopolyspora,1,49
Actinotignum,1,24
Adlercreutzia,1,33
Aequorivita,1,52
Aeribacillus,1,48
Aeromicrobium,1,37
Agarilytica,1,89
Agarivorans,1,53
Agromyces,1,55
Alcaligenaceae,1,57
Alcaligenes,1,51
Arsenicicoccus,1,40
Arsenophonus,1,11
Asaia,1,35
Blastococcus,1,66
Brenneria,1,63
Brochothrix,1,24
BtMrAlphaCoVSAX,1,1
BtRfAlphaCoVHuB,1,1
Buchnera,1,4
Caenorhabditis,1,1138
Caldilinea,1,42
Caldimicrobium,1,22
Caldisericum,1,18
Caldisphaera,1,15
Calditerrivibrio,1,22
Caldithrix,1,70
Caldivirga,1,22
Candida,1,161
Carboxydothermus,1,31
Cardinium,1,14
Castellaniella,1,42
Catenulispora,1,104
Caulobacteraceae,1,44
Botrytis,1,494
Blastochloris,1,42
Aster,1,7
Bibersteinia,1,29
Asticcacaulis,1,48
Atopobium,1,17
Aurantimicrobium,1,15
Aureimonas,1,36
Auricoccus,1,22
Azorhizobium,1,54
Bacterioplanes,1,60
Bacteriovorax,1,28
Bacteroidales,1,35
Barnesiella,1,44
Basilea,1,30
Baumannia,1,10
Beggiatoa,1,59
Beijerinckia,1,47
Belliella,1,50
Bernardetia,1,57
Beta,1,30
Betaproteobacteria,1,46
Beutenbergia,1,63
Frateuria,1,38
Fuerstia,1,110
Oceanithermus,1,21
Methanothermococcus,1,19
Methanogenic,1,14
Methanohalobium,1,37
Methanolacinia,1,37
Methanomethylovorans,1,28
Methanopyrus,1,20
Methanosalsum,1,29
Methanosphaera,1,18
Methanosphaerula,1,22
Methanospirillum,1,24
Methanothermus,1,12
Methyloversatilis,1,49
Methanotorris,1,18
Methylibium,1,41
Methylobacillus,1,35
Methylocaldum,1,80
Methyloceanibacter,1,43
Methylocella,1,64
Methylococcus,1,26
Methylomicrobium,1,61
Methylophilus,1,36
Methanocorpusculum,1,17
Mesotoga,1,34
Melittangium,1,129
Melissococcus,1,12
Luteimonas,1,48
Luteipulveratus,1,51
Luteitalea,1,87
Mageeibacillus,1,23
Magnetococcus,1,51
Magnetospira,1,49
Mahella,1,40
Maize,1,9
Maricaulis,1,28
Marichromatium,1,45
Marinifilaceae,1,79
Marinithermus,1,29
Marinobacterium,1,65
Marinovum,1,41
Marivirga,1,42
Marivivens,1,38
Megamonas,1,17
Megasphaera,1,28
Melioribacter,1,29
Methylorubrum,1,71
Methylovulum,1,50
Gallibacterium,1,26
Nitratiruptor,1,26
Natronolimnobius,1,45
Nautilia,1,22
Neoasaia,1,50
Neodiprion,1,1
Neomicrococcus,1,26
Niastella,1,114
Nibricoccus,1,50
Nitratifractor,1,24
Nitratireductor,1,30
Nitrosopumilus,1,25
Micavibrio,1,41
Nitrososphaera,1,28
Nitrospirillum,1,85
Nonomuraea,1,161
Nostocales,1,103
Novibacillus,1,44
Obesumbacterium,1,62
Oblitimonas,1,31
Oceanicoccus,1,43
Oceanimonas,1,39
Natronococcus,1,52
Natronobacterium,1,40
Natrialba,1,39
Natranaerobius,1,30
Microcella,1,20
Micrococcus,1,26
Microcoleus,1,92
Microlunatus,1,62
Micromonas,1,242
Microterricola,1,40
Microvirga,1,59
Minicystis,1,172
Mitsuaria,1,74
Mobiluncus,1,32
Modestobacter,1,66
Moorea,1,103
Moorella,1,26
Morganella,1,46
Moritella,1,59
Mucinivorans,1,36
Murdochiella,1,18
Muribaculum,1,35
Nakamurella,1,74
Luteibacter,1,39
Loktanella,1,40
Limnochorda,1,40
Halophilic,1,36
Haliangium,1,126
Haliscomenobacter,1,85
Halobacteroides,1,31
Halobiforma,1,45
Halocynthiibacter,1,58
Halodesulfurarchaeum,1,29
Halogeometricum,1,38
Halomicrobium,1,37
Halopenitus,1,39
Halopiger,1,37
Liberibacter,1,12
Haloquadratum,1,30
Halorhodospira,1,28
Halorientalis,1,26
Halostagnicola,1,40
Halotalea,1,53
Halothece,1,65
Halothermothrix,1,27
Halovivax,1,43
Heliobacterium,1,23
Halanaeroarchaeum,1,26
Halalkalicoccus,1,38
Hahella,1,89
Haematospirillum,1,19
Gallionella,1,40
Gardnerella,1,27
Geitlerinema,1,49
Gemella,1,20
Gemmata,1,89
Gemmatirosa,1,64
Geoalkalibacter,1,38
Geodermatophilus,1,64
Geosporobacter,1,72
Gibbsiella,1,64
Gilliamella,1,42
Gloeocapsa,1,62
Gluconacetobacter,1,58
Glutamicibacter,1,55
Gordonibacter,1,36
Gottschalkia,1,39
Granulibacter,1,45
Granulosicoccus,1,90
Gynuella,1,76
Herbinix,1,21
Hippea,1,20
Hirschia,1,39
Kozakia,1,28
Kurthia,1,29
Kutzneria,1,109
Kyrpidia,1,37
Kytococcus,1,33
Labilithrix,1,133
Lacimicrobium,1,51
Lacunisphaera,1,43
Lake,1,1
Laribacter,1,31
Lawsonella,1,16
Leadbetterella,1,40
Leclercia,1,74
Leifsonia,1,27
Leishmania,1,386
Leisingera,1,46
Lentibacillus,1,45
Lentzea,1,109
Leptothrix,1,68
Levyella,1,18
Kribbella,1,80
Kiritimatiella,1,35
Hoeflea,1,59
Kineococcus,1,68
Hoyosella,1,52
Huangpi,1,1
Hungateiclostridiaceae,1,41
Hydrogenobacter,1,16
Hyperthermus,1,12
Ichthyobacterium,1,21
Ignavibacterium,1,48
Ilumatobacter,1,59
Ilyobacter,1,20
Immundisolibacter,1,37
Intestinimonas,1,30
Intrasporangium,1,41
Isosphaera,1,49
Janibacter,1,41
Jannaschia,1,46
Jeongeupia,1,34
Jeotgalibacillus,1,40
Jonesia,1,27
Kibdelosporangium,1,149
secondary,1,2
